subject,opponent,seed,num_rounds,first_round,last_round,per_c,per_C,per_cC,per_cD,per_dC,per_dD,avg_score,avg_net_score
TIFT,DAVIcx,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,DAVIxx,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,DAVIxx,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,DAVIxx,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,DAVIxx,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,DAVIxx,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TULL,0,200,1,200,0.8844221105527639,0.7236180904522613,0.72,0.16,0.0,0.115,2.6180904522613067,0.0
TIFT,TULL,1,200,1,200,0.6231155778894473,0.19095477386934678,0.19,0.43,0.0,0.375,1.407035175879397,-0.02512562814070352
TIFT,TULL,2,200,1,200,0.6281407035175879,0.15577889447236182,0.155,0.47,0.0,0.37,1.321608040201005,-0.02512562814070352
TIFT,TULL,3,200,1,200,0.6633165829145728,0.27638190954773867,0.275,0.385,0.0,0.335,1.6180904522613064,-0.02512562814070352
TIFT,TULL,4,200,1,200,0.6633165829145728,0.25125628140703515,0.25,0.41,0.0,0.335,1.5527638190954773,-0.02512562814070352
TIFT,TULLnd,0,200,1,200,0.18592964824120606,0.11055276381909551,0.105,0.08,0.005,0.805,1.2311557788944723,-0.02512562814070352
TIFT,TULLnd,1,200,1,200,0.12562814070351758,0.24623115577889443,0.125,0.0,0.12,0.75,1.5125628140703518,-0.02512562814070352
TIFT,TULLnd,2,200,1,200,0.12562814070351758,0.8341708542713568,0.12,0.005,0.71,0.16,2.809045226130653,0.0
TIFT,TULLnd,3,200,1,200,0.11557788944723613,0.27135678391959794,0.115,0.0,0.155,0.725,1.5577889447236182,-0.02512562814070352
TIFT,TULLnd,4,200,1,200,0.19095477386934678,0.27135678391959794,0.165,0.025,0.105,0.7,1.592964824120603,-0.02512562814070352
TIFT,TULLcx,0,200,1,200,1.0,0.18090452261306533,0.18,0.815,0.0,0.0,1.4020100502512562,-0.02512562814070352
TIFT,TULLcx,1,200,1,200,1.0,0.2211055276381909,0.22,0.775,0.0,0.0,1.4723618090452262,-0.02512562814070352
TIFT,TULLcx,2,200,1,200,1.0,0.20100502512562812,0.2,0.795,0.0,0.0,1.4371859296482412,-0.02512562814070352
TIFT,TULLcx,3,200,1,200,1.0,0.16582914572864327,0.165,0.83,0.0,0.0,1.3517587939698492,-0.02512562814070352
TIFT,TULLcx,4,200,1,200,1.0,0.22613065326633164,0.225,0.77,0.0,0.0,1.4773869346733668,-0.02512562814070352
TIFT,TULLxx,0,200,1,200,0.18090452261306533,0.18090452261306533,0.18,0.0,0.0,0.815,1.4020100502512562,-0.02512562814070352
TIFT,TULLxx,1,200,1,200,0.2211055276381909,0.2211055276381909,0.22,0.0,0.0,0.775,1.4723618090452262,-0.02512562814070352
TIFT,TULLxx,2,200,1,200,0.20100502512562812,0.20100502512562812,0.2,0.0,0.0,0.795,1.4371859296482412,-0.02512562814070352
TIFT,TULLxx,3,200,1,200,0.16582914572864327,0.16582914572864327,0.165,0.0,0.0,0.83,1.3517587939698492,-0.02512562814070352
TIFT,TULLxx,4,200,1,200,0.22613065326633164,0.22613065326633164,0.225,0.0,0.0,0.77,1.4773869346733668,-0.02512562814070352
TIFT,TICH,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TICH,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TICH,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TICH,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
